category,parameter,value,description
experiment,episodes,50,Main episodes per seed and scenario.
experiment,timesteps_per_episode,48,Discrete timesteps per episode.
experiment,seeds,"[7, 11, 13, 17, 19]",Main deterministic random seeds.
experiment,bootstrap_basis,seed_episode_combinations,Bootstrap unit used for confidence intervals.
experiment,bootstrap_samples,1000,Bootstrap resamples for 95% confidence intervals.
graph,number_of_external_source_nodes,60,External SIoT object/source nodes.
graph,number_of_relation_types,5,Typed SIoT edge labels.
graph,relation_types,"['OOR', 'CLOR', 'CWOR', 'SOR', 'POR']",Supported SIoT relationship types.
relation_utility,OOR,1.0,Default relation utility used in discovery/ranking.
relation_utility,CLOR,0.8,Default relation utility used in discovery/ranking.
relation_utility,CWOR,0.8,Default relation utility used in discovery/ranking.
relation_utility,SOR,0.6,Default relation utility used in discovery/ranking.
relation_utility,POR,0.5,Default relation utility used in discovery/ranking.
graph,ego_personal_device_count,3,Ego-associated OOR devices.
graph,environmental_source_count,16,Environmental source count target.
graph,infrastructure_source_count,14,Infrastructure source count target.
graph,vehicle_source_count,8,Vehicle source count target.
graph,graph_density_mode,default,Default graph-density setting.
graph,graph_density_edge_probabilities,"{'sparse': 0.004, 'default': 0.01, 'dense': 0.02}",Extra typed-edge probability by density.
graph,ego_layer1_candidate_min,5,Lower target for ego 1-hop candidate pool.
graph,ego_layer1_candidate_max,8,Upper target for ego 1-hop candidate pool.
graph,target_average_shortest_path,3.0-4.0,Default graph path-length target.
adaptive,baseline_hop_radius,2,Normal graph discovery radius.
adaptive,adaptive_hop_radius,3,Broadened graph discovery radius.
adaptive,default_selection_cap,3,Selective recruitment cap in normal mode.
adaptive,adaptive_selection_cap,5,Selective recruitment cap in adaptive mode.
bounded_discovery,default_mode_for_siot_aware,bounded_relationship_guided,Default discovery mode for SIoT-aware selective policies.
bounded_discovery,exhaustive_mode,exhaustive_hop,High-coverage hop-limited reference discovery mode.
bounded_discovery,small_graph_node_edge_score_budget,"(20, 40, 12)",Bounded discovery budget for small graphs.
bounded_discovery,medium_graph_node_edge_score_budget,"(30, 70, 18)",Bounded discovery budget for medium graphs.
bounded_discovery,large_graph_node_edge_score_budget,"(40, 100, 24)",Bounded discovery budget for large graphs.
bounded_discovery,adaptive_discovery_budget_multiplier,1.35,Multiplier applied to bounded discovery budgets under adaptive broadening.
bounded_discovery,min_candidates_required,8,Minimum candidates before bounded early stopping.
bounded_discovery,min_variable_coverage,4,Minimum distinct context variables covered before quality-based bounded stopping.
bounded_discovery,early_stop_when_all_variables_covered,True,Whether bounded discovery stops when all variables are covered and quality thresholds are met.
bounded_discovery,early_stop_min_quality,0.1,Minimum expected candidate quality for bounded early stopping.
